participant_id,theme,n_sentences,n_participants,mean_score,median_score,std_score,pct_positive,pct_neutral,pct_negative
OSF8B7,Music Sharing,12.0,1.0,0.4033500000000001,0.43174999999999997,0.27203627599006985,75.0,25.0,0.0
PUN5JW,Music Sharing,10.0,1.0,0.39819,0.5243,0.28757112530835066,70.0,30.0,0.0
Y9N2G1,Music Sharing,10.0,1.0,0.38867,0.41000000000000003,0.2549979653513599,90.0,0.0,10.0
IF5UTV,Music Sharing,16.0,1.0,0.37299375,0.6695500000000001,0.5498351710209767,62.5,6.25,31.25
X1QQ4F,Music Sharing,38.0,1.0,0.37225263157894734,0.3708,0.3280327000318488,78.94736842105263,15.789473684210526,5.263157894736842
V6UZPS,Music Sharing,12.0,1.0,0.364625,0.3612,0.26727139126907895,75.0,25.0,0.0
4TPXHQ,Music Sharing,8.0,1.0,0.36338750000000003,0.45855,0.254527098964222,75.0,25.0,0.0
P7WEZC,Music Sharing,11.0,1.0,0.36255454545454546,0.3612,0.26359244057308,72.72727272727273,27.27272727272727,0.0
7D8BPD,Music Sharing,7.0,1.0,0.3617,0.6124,0.46738337226164417,57.14285714285714,28.57142857142857,14.285714285714285
V47GRV,Music Sharing,14.0,1.0,0.3376571428571428,0.53705,0.4829697374088228,64.28571428571429,28.57142857142857,7.142857142857142
79TSTS,Music Sharing,8.0,1.0,0.3225125,0.3056,0.3154912561047793,62.5,37.5,0.0
7V6SPY,Music Sharing,11.0,1.0,0.3049272727272727,0.3566,0.2460717256854557,72.72727272727273,27.27272727272727,0.0
QNJQ2F,Music Sharing,18.0,1.0,0.30402222222222225,0.3612,0.36235733509983425,72.22222222222221,11.11111111111111,16.666666666666664
P7TX2P,Music Sharing,16.0,1.0,0.2774875,0.3612,0.27167641506026985,68.75,25.0,6.25
382LOS,Music Sharing,18.0,1.0,0.2727833333333333,0.29235,0.39511184306397573,55.55555555555556,33.33333333333333,11.11111111111111
XWM6DC,Music Sharing,11.0,1.0,0.2600272727272727,0.3612,0.32083273863778017,63.63636363636363,27.27272727272727,9.090909090909092
06ECDB,Music Sharing,7.0,1.0,0.23837142857142854,0.0,0.36664868613922375,42.857142857142854,42.857142857142854,14.285714285714285
1ZWUFF,Music Sharing,4.0,1.0,0.2327,0.31720000000000004,0.3612369397869861,75.0,0.0,25.0
JBNB4U,Music Sharing,9.0,1.0,0.1554,0.0,0.3927891673659038,33.33333333333333,44.44444444444444,22.22222222222222
6759KU,Peer Music,1.0,1.0,0.9632,0.9632,,100.0,0.0,0.0
W5T7LB,Peer Music,3.0,1.0,0.9527,0.9459,0.014545446022724817,100.0,0.0,0.0
Z01ABO,Peer Music,4.0,1.0,0.909575,0.9152,0.02235656130386187,100.0,0.0,0.0
7D8BPD,Peer Music,4.0,1.0,0.7471499999999999,0.7406999999999999,0.07291760189876421,100.0,0.0,0.0
35A4QY,Peer Music,9.0,1.0,0.7152999999999999,0.7906,0.22298257218894935,100.0,0.0,0.0
2KDZ22,Peer Music,5.0,1.0,0.70204,0.7579,0.167486127783766,100.0,0.0,0.0
OA8J4N,Peer Music,2.0,1.0,0.6804,0.6804,0.06151828996322961,100.0,0.0,0.0
PUN5JW,Peer Music,1.0,1.0,0.6801,0.6801,,100.0,0.0,0.0
V47GRV,Peer Music,4.0,1.0,0.678375,0.6977,0.16922132204108717,100.0,0.0,0.0
PF65TG,Peer Music,3.0,1.0,0.6707666666666667,0.7579,0.2764962266168081,100.0,0.0,0.0
IQLWA6,Peer Music,11.0,1.0,0.6697181818181819,0.7096,0.18659974714978483,100.0,0.0,0.0
V1B21E,Peer Music,10.0,1.0,0.6314599999999999,0.70245,0.3134978015163034,90.0,10.0,0.0
IOEYMP,Peer Music,10.0,1.0,0.62251,0.60635,0.19448304953274348,100.0,0.0,0.0
9772KI,Peer Music,4.0,1.0,0.6053999999999999,0.5978,0.1259172214856517,100.0,0.0,0.0
XRONEG,Peer Music,10.0,1.0,0.5996300000000001,0.6414500000000001,0.2726272385918586,90.0,10.0,0.0
XV0S8C,Peer Music,11.0,1.0,0.5988181818181819,0.6124,0.20847837690360993,100.0,0.0,0.0
YP35AR,Peer Music,8.0,1.0,0.5918125000000001,0.5615000000000001,0.2795960015936259,100.0,0.0,0.0
J4J4VY,Peer Music,12.0,1.0,0.5572583333333334,0.6124,0.23829786348690635,91.66666666666666,8.333333333333332,0.0
WOGMXV,Peer Music,8.0,1.0,0.5482374999999999,0.61725,0.23390377714839433,100.0,0.0,0.0
5F2WAZ,Peer Music,8.0,1.0,0.5410125,0.6124,0.29719588267432545,87.5,12.5,0.0
1ZWUFF,Peer Music,4.0,1.0,0.532225,0.55735,0.2993298334056709,100.0,0.0,0.0
J0QRGC,Peer Music,6.0,1.0,0.51905,0.47585,0.349241788736686,83.33333333333334,16.666666666666664,0.0
2IR3MC,Peer Music,12.0,1.0,0.5159250000000001,0.5971500000000001,0.30339545188956396,83.33333333333334,16.666666666666664,0.0
2MDJD4,Peer Music,5.0,1.0,0.48944,0.4963,0.37832031798464116,80.0,20.0,0.0
JBNB4U,Peer Music,13.0,1.0,0.4883384615384616,0.3804,0.3344235077922941,84.61538461538461,7.6923076923076925,7.6923076923076925
62U759,Peer Music,17.0,1.0,0.486764705882353,0.4939,0.35672921092401527,82.35294117647058,17.647058823529413,0.0
V6UZPS,Peer Music,4.0,1.0,0.48127499999999995,0.4961,0.1931892573790444,100.0,0.0,0.0
TU93WC,Peer Music,8.0,1.0,0.473425,0.6145,0.41540585232138605,75.0,12.5,12.5
